,zip_code,distance,city,state
63,90247,11.463,"""Gardena""","""CA"""
195,91733,11.522,"""South El Monte""","""CA"""
120,90295,11.532,"""Marina Del Rey""","""CA"""
71,90251,11.557,"""Hawthorne""","""CA"""
210,90073,11.579,"""Los Angeles""","""CA"""
327,91121,11.583,"""Pasadena""","""CA"""
368,91612,11.704,"""North Hollywood""","""CA"""
367,91611,11.704,"""North Hollywood""","""CA"""
369,91616,11.704,"""North Hollywood""","""CA"""
269,91780,11.780999999999999,"""Temple City""","""CA"""
64,90723,11.780999999999999,"""Paramount""","""CA"""
380,91001,11.849,"""Altadena""","""CA"""
82,90239,11.877,"""Downey""","""CA"""
56,90221,11.895999999999999,"""Compton""","""CA"""
54,90220,11.9,"""Compton""","""CA"""
375,91606,11.940999999999999,"""North Hollywood""","""CA"""
333,91107,11.991,"""Pasadena""","""CA"""
131,90606,11.994000000000002,"""Whittier""","""CA"""
403,91011,12.037,"""La Canada Flintridge""","""CA"""
90,90045,12.06,"""Los Angeles""","""CA"""
162,90411,12.112,"""Santa Monica""","""CA"""
161,90410,12.112,"""Santa Monica""","""CA"""
318,91423,12.152999999999999,"""Sherman Oaks""","""CA"""
271,90077,12.154000000000002,"""Los Angeles""","""CA"""
52,90248,12.17,"""Gardena""","""CA"""
377,91615,12.229000000000001,"""North Hollywood""","""CA"""
246,91731,12.23,"""El Monte""","""CA"""
405,91224,12.24,"""La Crescenta""","""CA"""
116,90610,12.390999999999998,"""Whittier""","""CA"""
55,90506,12.392999999999999,"""Torrance""","""CA"""
396,91353,12.401,"""Sun Valley""","""CA"""
321,91495,12.535,"""Sherman Oaks""","""CA"""
130,90292,12.607999999999999,"""Marina Del Rey""","""CA"""
283,91077,12.62,"""Arcadia""","""CA"""
166,90405,12.633,"""Santa Monica""","""CA"""
58,90260,12.637,"""Lawndale""","""CA"""
49,90224,12.64,"""Compton""","""CA"""
175,90404,12.662,"""Santa Monica""","""CA"""
407,91214,12.675999999999998,"""La Crescenta""","""CA"""
75,90245,12.68,"""El Segundo""","""CA"""
144,90291,12.722999999999999,"""Venice""","""CA"""
96,90296,12.764000000000001,"""Playa Del Rey""","""CA"""
359,91408,12.860999999999999,"""Van Nuys""","""CA"""
358,91404,12.860999999999999,"""Van Nuys""","""CA"""
94,90293,12.869000000000002,"""Playa Del Rey""","""CA"""
236,91734,12.943,"""El Monte""","""CA"""
286,91007,12.960999999999999,"""Arcadia""","""CA"""
60,90261,13.047,"""Lawndale""","""CA"""
170,90408,13.091,"""Santa Monica""","""CA"""
42,90747,13.129000000000001,"""Carson""","""CA"""
157,90601,13.232000000000001,"""Whittier""","""CA"""
133,90294,13.295,"""Venice""","""CA"""
365,91401,13.311,"""Van Nuys""","""CA"""
335,91496,13.377,"""Van Nuys""","""CA"""
334,91413,13.377,"""Sherman Oaks""","""CA"""
40,90746,13.386,"""Carson""","""CA"""
148,90409,13.401,"""Santa Monica""","""CA"""
237,91735,13.499,"""El Monte""","""CA"""
45,90504,13.539000000000001,"""Torrance""","""CA"""
57,90706,13.552999999999999,"""Bellflower""","""CA"""
395,91605,13.555,"""North Hollywood""","""CA"""
317,91403,13.593,"""Sherman Oaks""","""CA"""
182,90403,13.665999999999999,"""Santa Monica""","""CA"""
44,90805,13.690999999999999,"""Long Beach""","""CA"""
412,91043,13.764000000000001,"""Tujunga""","""CA"""
85,90670,13.77,"""Santa Fe Springs""","""CA"""
159,90406,13.773,"""Santa Monica""","""CA"""
160,90407,13.773,"""Santa Monica""","""CA"""
242,91732,13.780999999999999,"""El Monte""","""CA"""
262,90049,13.785,"""Los Angeles""","""CA"""
406,91352,13.827,"""Sun Valley""","""CA"""
345,91025,13.873,"""Sierra Madre""","""CA"""
167,90401,13.946,"""Santa Monica""","""CA"""
83,90671,14.023,"""Santa Fe Springs""","""CA"""
50,90278,14.06,"""Redondo Beach""","""CA"""
123,90609,14.112,"""Whittier""","""CA"""
59,90266,14.114,"""Manhattan Beach""","""CA"""
70,90650,14.118,"""Norwalk""","""CA"""
376,91407,14.205,"""Van Nuys""","""CA"""
352,91024,14.207,"""Sierra Madre""","""CA"""
53,90707,14.237,"""Bellflower""","""CA"""
295,91006,14.292,"""Arcadia""","""CA"""
184,90402,14.324000000000002,"""Santa Monica""","""CA"""
126,90602,14.457,"""Whittier""","""CA"""
72,90652,14.488,"""Norwalk""","""CA"""
366,91411,14.543,"""Van Nuys""","""CA"""
124,90608,14.623,"""Whittier""","""CA"""
416,91041,14.652000000000001,"""Sunland""","""CA"""
312,91066,14.725999999999999,"""Arcadia""","""CA"""
48,90267,14.823,"""Manhattan Beach""","""CA"""
117,90607,14.907,"""Whittier""","""CA"""
118,90612,14.907,"""Whittier""","""CA"""
402,91023,14.913,"""Mount Wilson""","""CA"""
66,90659,14.967,"""Norwalk""","""CA"""
65,90651,14.967,"""Norwalk""","""CA"""
382,91405,14.978,"""Van Nuys""","""CA"""
103,90605,15.007,"""Whittier""","""CA"""
319,91436,15.009,"""Encino""","""CA"""
389,91499,15.083,"""Van Nuys""","""CA"""
417,91040,15.165999999999999,"""Sunland""","""CA"""
31,90509,15.171,"""Torrance""","""CA"""
29,90502,15.331,"""Torrance""","""CA"""
37,90712,15.366,"""Lakewood""","""CA"""
43,90254,15.437000000000001,"""Hermosa Beach""","""CA"""
191,91746,15.46,"""La Puente""","""CA"""
30,90501,15.515,"""Torrance""","""CA"""
25,90895,15.617,"""Carson""","""CA"""
401,91412,15.664000000000001,"""Panorama City""","""CA"""
23,90507,15.719000000000001,"""Torrance""","""CA"""
24,90508,15.719000000000001,"""Torrance""","""CA"""
33,90503,15.732000000000001,"""Torrance""","""CA"""
38,90714,15.74,"""Lakewood""","""CA"""
26,90847,15.847999999999999,"""Long Beach""","""CA"""
19,90745,15.911,"""Carson""","""CA"""
388,91497,15.949000000000002,"""Van Nuys""","""CA"""
387,91482,15.949000000000002,"""Van Nuys""","""CA"""
386,91388,15.949000000000002,"""Van Nuys""","""CA"""
404,91402,15.967,"""Panorama City""","""CA"""
27,90848,15.989,"""Long Beach""","""CA"""
410,91334,16.006,"""Pacoima""","""CA"""
320,91426,16.055999999999997,"""Encino""","""CA"""
17,90749,16.095,"""Carson""","""CA"""
329,91016,16.109,"""Monrovia""","""CA"""
32,90711,16.124000000000002,"""Lakewood""","""CA"""
15,90810,16.213,"""Long Beach""","""CA"""
21,90807,16.223,"""Long Beach""","""CA"""
46,90701,16.234,"""Artesia""","""CA"""
80,90604,16.303,"""Whittier""","""CA"""
36,90713,16.349,"""Lakewood""","""CA"""
400,91393,16.46,"""North Hills""","""CA"""
16,90510,16.515,"""Torrance""","""CA"""
164,91715,16.605,"""City Of Industry""","""CA"""
292,91017,16.614,"""Monrovia""","""CA"""
147,91745,16.63,"""Hacienda Heights""","""CA"""
47,90703,16.637,"""Cerritos""","""CA"""
347,91316,16.657,"""Encino""","""CA"""
357,91416,16.679000000000002,"""Encino""","""CA"""
